operator,origin_airport,destination_airport,airline,flight_number,aircraft_type,origin_time,origin_day_difference,destination_time,destination_day_difference,calendar,is_valid_from,is_valid_to,note_ja,date
,神津島,調布,CUK,304,Do,12:10,,12:55,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/14・28運休,2022-05-28
,神津島,調布,CUK,306,Do,16:05,,16:50,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,調布,MYE,CUK,401,Do,08:40,,09:30,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,調布,MYE,CUK,405,Do,11:10,,12:00,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,調布,MYE,CUK,407,Do,14:50,,15:40,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MYE,調布,CUK,402,Do,09:55,,10:45,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MYE,調布,CUK,406,Do,13:00,,13:50,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,MYE,調布,CUK,408,Do,16:00,,16:50,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,調布,MYE,CUK,405,Do,11:00,,11:50,,　　火　　　　,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/14・28運航,2022-05-28
,MYE,調布,CUK,406,Do,12:50,,13:40,,　　火　　　　,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/14・28運航,2022-05-28
,OKA,ASJ,RAC,RAC853,,12:20,,13:15,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,ASJ,OKA,RAC,RAC854,,13:45,,14:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OKA,ASJ,RAC,RAC853,,12:20,,13:20,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-07-14T23:59:59+09:00,,2022-05-28
,ASJ,OKA,RAC,RAC854,,13:50,,14:55,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-07-14T23:59:59+09:00,,2022-05-28
,OKA,RNJ,RAC,RAC815,,13:20,,14:00,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,5月1～31日5分早発,2022-05-28
,RNJ,OKA,RAC,RAC816,,14:30,,15:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,5月1～31日5分早発,2022-05-28
,OKA,RNJ,RAC,RAC815,,13:10,,13:50,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
