"operator","origin_airport","destination_airport","airline","flight_number","aircraft_type","origin_time","origin_day_difference","destination_time","destination_day_difference","calendar","is_valid_from","is_valid_to","note_ja","date"
"ANA","HND","CTS","ANA","NH073/AC6263/PR1452/UA7979","772","17:00",,"18:35",,"日　　　　金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH073/AC6263/PR1452/UA7979","788/772","17:00",,"18:35",,"　月火水木　　","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","CTS","JAL","JL525","359","17:35",,"19:10",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL525","359","17:35",,"19:10",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分早着","2022-08-04T13:00:00+09:00"
"ANA","HND","CTS","ADO","HD031/NH4731","763","17:50",,"19:20",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH075/AC6225","788/772/763","18:00",,"19:35",,"　　　　木　土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH075/AC6225/VN3373","788/772/763","18:00",,"19:35",,"日月　水　金　","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH075/AC6225","789/788/772/763","18:00",,"19:35",,"　　火　　　　","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ADO","HD033/NH4733","73D","18:15",,"19:50",,"　　　水　　　","2022-08-07T00:00:00+09:00","2022-08-13T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ADO","HD033/NH4733","73D","18:15",,"19:50",,"　月火　　　　","2022-08-14T00:00:00+09:00","2022-08-20T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","CTS","JAL","JL527",,"18:30",,"20:00",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL527",,"18:30",,"20:00",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL527","359","18:30",,"20:05",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","CTS","ADO","HD035/NH4735","763","18:50",,"20:20",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH077","789/788","19:00",,"20:30",,"日月火水　金　","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH077/GA9420","789/788","19:00",,"20:30",,"　　　　木　土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","CTS","JAL","JL529","772","19:45",,"21:15",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL529","772","19:45",,"21:15",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL529","772","19:45",,"21:20",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","CTS","ANA","NH079","772","20:00",,"21:35",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ADO","HD037/NH4737","763","20:15",,"21:45",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ANA","NH081","788/772","20:30",,"22:05",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","CTS","JAL","JL531","359","20:40",,"22:10",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL531","359","20:40",,"22:10",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","CTS","JAL","JL531","359","20:40",,"22:15",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
